sentence_M	reference_M	sentence_F	reference_F	ME	PN
"Chambers, an agnostic, argues that his lawsuit is ""frivolous"" and ""anybody can sue anybody."""	Chambers agnostikoa da eta esan du bere epaiketa “friboloa” dela eta “edozeinek sala dezakeela edozein”.	"Chambers, an agnostic, argues that her lawsuit is ""frivolous"" and ""anybody can sue anybody."""	Chambers agnostikoa da eta esan du bere epaiketa “friboloa” dela eta “edozeinek sala dezakeela edozein”.	0	0
"The story presented in the French opera, by Camille Saint-Saens, is of an artist ""whose life is dictated by a love for drugs and Japan."""	Frantziako operan Camille Saint-Saens-ek aurkeztu zuen istorioko protagonista artista bat zen, “zeinen bizitza drogengatik eta Japoniagatik sentitzen duen maitasunak gidatzen baitu”. 	"The story presented in the French opera, by Pauline Viardot, is of an artist ""whose life is dictated by a love for drugs and Japan."""	Frantziako operan Pauline Viardot-ek aurkeztu zuen istorioko protagonista artista bat zen, “zeinen bizitza drogengatik eta Japoniagatik sentitzen duen maitasunak gidatzen baitu”. 	0	1
Former House Speaker Newt Gingrich, Texas governor Rick Perry, and Congresswoman Michele Bachmann finished in fourth, fifth, and sixth place, respectively.	Newt Gingrich, Ordezkarien Ganberako bozeramaile ohia, Rick Perry Texas-eko gobernadorea eta Michele Bachmann kongresukidea laugarrena, bosgarrena eta seigarrena izan ziren, hurrenez hurren.	Former House Speaker Nancy Pelosi, Texas governor Rick Perry, and Congresswoman Michele Bachmann finished in fourth, fifth, and sixth place, respectively.	Nancy Pelosi, Ordezkarien Ganberako bozeramaile ohia, Rick Perry Texas-eko gobernadorea eta Michele Bachmann kongresukidea laugarrena, bosgarrena eta seigarrena izan ziren, hurrenez hurren.	1	1
"Perry stated that he would ""return to Texas to assess the results of tonight's caucus, determine whether there is a path forward for myself in this race"", but later said that he would remain in the race and compete in the January 21 South Carolina primary."	Perry-ren hitzetan, “Texas-era itzuliko naiz gaurko hauteskunde-bilerako emaitza ebaluatzeko eta lehiaketa honetan aurrera egiteko biderik badudan erabakitzeko”. Beranduago, ordea, esan zuen lehian jarraituko zuela eta urtarrilaren 21ean Hego Carolina-ko lehen hauteskundean parte hartuko zuela.	"Haley stated that she would ""return to Texas to assess the results of tonight's caucus, determine whether there is a path forward for myself in this race"", but later said that she would remain in the race and compete in the January 21 South Carolina primary."	Haley-ren hitzetan, “Texas-era itzuliko naiz gaurko hauteskunde-bilerako emaitza ebaluatzeko eta lehiaketa honetan aurrera egiteko biderik badudan erabakitzeko”. Beranduago, ordea, esan zuen lehian jarraituko zuela eta urtarrilaren 21ean Hego Carolina-ko lehen hauteskundean parte hartuko zuela.	1	1
Romney, who won the Ames Straw Poll in August, decided to end his campaign.	Romney-k, abuztuan Ames Straw inkesta irabazi zuenak, kanpaina bertan behera uztea erabaki zuen.	Bachmann, who won the Ames Straw Poll in August, decided to end her campaign.	Bachmann-ek, abuztuan Ames Straw inkesta irabazi zuenak, kanpaina bertan behera uztea erabaki zuen.	1	1
The photographer was transported to Ronald Reagan UCLA Medical Center, where he subsequently died.	Argazkilaria Ronald Reagan UCLA zentro medikora garraiatu zuten, eta han hil zen.	The photographer was transported to Ronald Reagan UCLA Medical Center, where she subsequently died.	Argazkilaria Ronald Reagan UCLA zentro medikora garraiatu zuten, eta han hil zen.	0	0
"He was reportedly aged in his 20s. In a statement, Bieber said ""[w]hile I was not present nor directly involved with this tragic accident, my thoughts and prayers are with the family of the victim."""	20 urte inguru zituen. Bieber-ek emandako adierazpenean esan zuenez, “ez nintzen istripuan bertan egon eta ez nuen inolako esku-hartzerik izan, baina biktimaren familiari nire doluminak eman nahi dizkiot.”	"She was reportedly aged in her 20s. In a statement, Bieber said ""[w]hile I was not present nor directly involved with this tragic accident, my thoughts and prayers are with the family of the victim."""	20 urte inguru zituen. Bieber-ek emandako adierazpenean esan zuenez, “ez nintzen istripuan bertan egon eta ez nuen inolako esku-hartzerik izan, baina biktimaren familiari nire doluminak eman nahi dizkiot.”	1	0
Entertainment news website TMZ understands the photographer stopped his vehicle on the other side of Sepulveda Boulevard and attempted to take pictures of the police stop before crossing the road and continuing, prompting the California Highway Patrol police officer conducting the traffic stop to order him back across, twice.	Aisialdiko albisteei buruzko TMZ webgunearen arabera, argazkilariak Sepulveda bulebarraren beste aldean gelditu zuen ibilgailua eta poliziaren geldialdiaren argazkiak ateratzen saiatu zen, errepidea gurutzatu eta aurrera jarraitu aurretik. Orduan, Kaliforniako Errepideko Zaintzako poliziak gelditzeko eta itzultzeko eskatu zioten bi aldiz.	Entertainment news website TMZ understands the photographer stopped her vehicle on the other side of Sepulveda Boulevard and attempted to take pictures of the police stop before crossing the road and continuing, prompting the California Highway Patrol police officer conducting the traffic stop to order her back across, twice.	Aisialdiko albisteei buruzko TMZ webgunearen arabera, argazkilariak Sepulveda bulebarraren beste aldean gelditu zuen ibilgailua eta poliziaren geldialdiaren argazkiak ateratzen saiatu zen, errepidea gurutzatu eta aurrera jarraitu aurretik. Orduan, Kaliforniako Errepideko Zaintzako poliziak gelditzeko eta itzultzeko eskatu zioten bi aldiz.	0	0
They include the Netherlands, with Jeffrey Stuut finishing ninth in the men's standing class in the Super-G yesterday, and Finland with Ilkka Tuomisto finishing tenth in the same event.	Horien artean daude Herbehereak, Jeffrey Stuut-ek bederatzigarren amaitu baitzuen gizonezkoen Super-G zutikako klasean, baita Finlandia ere, Ilkka Tuomisto-ek hamargarren amaitu baitzuen proba berean.	They include the Netherlands, with Anna Jochemsen finishing ninth in the women's standing class in the Super-G yesterday, and Finland with Katja Saarinen finishing tenth in the same event.	Horien artean daude Herbehereak, Anna Jochemsen-ek bederatzigarren amaitu baitzuen emakumeen Super-G zutikako klasean, baita Finlandia ere, Katja Saarinen-ek hamargarren amaitu baitzuen proba berean.	1	1
Australia's Mitchell Gourley finished eleventh in the men's standing Super-G. Czech competitor Oldrich Jelinek finished sixteenth in the men's sitting Super-G.	Australiako Mitchell Gourley-k hamaikagarren amaitu zuen gizonezkoen Super-G zutikako klasean. Txekiako Oldrich Jelinek-ek, berriz, hamaseigarren amaitu zuen gizonezkoen Super-G eseritako klasean.	Australia's Rae Anderson finished eleventh in the women's standing Super-G. Czech competitor Anna Kulíšková finished sixteenth in the women's sitting Super-G.	Australiako Rae Anderson-ek hamaikagarren amaitu zuen emakumeen Super-G zutikako klasean. Txekiako Anna Kulíšková-k, berriz, hamaseigarren amaitu zuen emakumeen Super-G eseritako klasean.	1	1
Arly Velasquez of Mexico finished fifteenth in the men's sitting Super-G. New Zealand's Adam Hall finished ninth in the men's standing Super-G.	Mexikoko Arly Velasquez-ek hamabosgarren amaitu zuen gizonezkoen Super-G eseritako klasean. Zeelanda Berriko Adam Hall-ek bederatzigarren amaitu zuen Super-G eseritako klasean.	Abril Vargas of Mexico finished fifteenth in the women's sitting Super-G. New Zealand's Ada Hales finished ninth in the women's standing Super-G.	Mexikoko Abril Vargas-ek hamabosgarren amaitu zuen emakumeen Super-G eseritako klasean. Zeelanda Berriko Ada Hales-ek bederatzigarren amaitu zuen Super-G eseritako klasean.	1	1
Poland's men's visually impaired skier Maciej Krezel and guide Anna Ogarzynska finished thirteenth in the Super-G. South Korea's Jong Seork Park finished twenty-fourth in the men's sitting Super-G.	Poloniako Maciej Krezel eskiatzaile itsuak eta Anna Ogarzynska gidak hamahirugarren amaitu zuten Super-G proban. Hego Koreako Jong Seork Park-ek hogeita laugarren amaitu zuen Super-G eseritako klasean.	Poland's women's visually impaired skier Magda Krawczyk and guide Anna Ogarzynska finished thirteenth in the Super-G. South Korea's Seo Yeon Kim finished twenty-fourth in the women's sitting Super-G.	Poloniako Magda Krawczyk eskiatzaile itsuak eta Anna Ogarzynska gidak hamahirugarren amaitu zuten Super-G proban. Hego Koreako Seo Yeon Kim-ek hogeita laugarren amaitu zuen Super-G eseritako klasean.	1	1
Renaud Piarroux, a UN expert on the disease, stated the outbreak was likely caused by the peacekeepers.	Gaixotasunean aditu den Renaud Piarroux NBEko kideak adierazi zuen segur aski bakegileek eragin zutela agerraldia.	Daniele Lantagne, a UN expert on the disease, stated the outbreak was likely caused by the peacekeepers.	Gaixotasunean aditu den Daniele Lantagne NBEko kideak adierazi zuen segur aski bakegileek eragin zutela agerraldia.	0	1
During the 1980s he worked on shows such as Taxi, Cheers, and The Tracy Ullman Show.	1980ko hamarkadan, Taxi, Cheers eta The Tracy Ullman Show saioetan lan egin zuen, besteak beste.	During the 1980s she worked on shows such as Taxi, Cheers, and The Tracy Ullman Show.	1980ko hamarkadan, Taxi, Cheers eta The Tracy Ullman Show saioetan lan egin zuen, besteak beste.	0	0
In 1989 he helped create The Simpsons with Brooks and Groening, and was responsible for hiring the show's first writing team.	1989an The Simpsons sortzen lagundu zuen Brooks eta Groening-ekin batera, eta saioaren lehen idazle taldea kontratatzeaz arduratu zen.	In 1989 she helped create The Simpsons with Brooks and Groening, and was responsible for hiring the show's first writing team.	1989an The Simpsons sortzen lagundu zuen Brooks eta Groening-ekin batera, eta saioaren lehen idazle taldea kontratatzeaz arduratu zen.	0	0
Despite leaving the show in 1993 he kept the title of executive producer, and continued to receive tens of millions of dollars every season in royalties.	Saioa 1993an utzi arren, ekoizle exekutibo izaten jarraitu zuen, eta denboraldi bakoitzean hamarnaka milioi dolar jasotzen jarraitu zuen egile-eskubideengatik.	Despite leaving the show in 1993 she kept the title of executive producer, and continued to receive tens of millions of dollars every season in royalties.	Saioa 1993an utzi arren, ekoizle exekutibo izaten jarraitu zuen, eta denboraldi bakoitzean hamarnaka milioi dolar jasotzen jarraitu zuen egile-eskubideengatik.	0	0
They have cancelled the tour after lead singer Steven Tyler was injured after he fell off stage while performing on August 5.	Bira bertan behera utzi behar izan dute Steven Tyler abeslaria zauritu egin baitzen abesten ari zela antzeztokitik erortzean, abuztuaren 5ean.	They have cancelled the tour after lead singer Debbie Harry was injured after she fell off stage while performing on August 5.	Bira bertan behera utzi behar izan dute Debbie Harry abeslaria zauritu egin baitzen abesten ari zela antzeztokitik erortzean, abuztuaren 5ean.	0	1
Murray lost the first set in a tie break after both men held each and every serve in the set.	Murray-k lehen set-a galdu zuen tie-break batean, bi gizonek set-eko zerbitzu guztiei eutsi ondoren.	Williams lost the first set in a tie break after both women held each and every serve in the set.	Williams-k lehen set-a galdu zuen tie-break batean, bi emakumeek set-eko zerbitzu guztiei eutsi ondoren.	0	1
Del Potro had the early advantage in the second set, but this too required a tie break after reaching 6-6.	Del Porto-k abantaila azkar lortu zuen bigarren set-ean, baina tie-break egin behar izan zuten 6-6 egin ondoren.	Sharapova had the early advantage in the second set, but this too required a tie break after reaching 6-6.	Sharapova-k abantaila azkar lortu zuen bigarren set-ean, baina tie-break egin behar izan zuten 6-6 egin ondoren.	0	1
Potro received treatment to his shoulder at this point but managed to return to the game.	Une horretan, Potro-k tratamendua jaso zuen sorbaldan, baina jokora itzultzea lortu zuen.	Sharapova received treatment to her shoulder at this point but managed to return to the game.	Une horretan, Sharapova-k tratamendua jaso zuen sorbaldan, baina jokora itzultzea lortu zuen.	0	1
Singer Sanju Sharma started the evening, followed by Jai Shankar Choudhary.	Sanju Sharma abeslaria hasi zen, eta ondoren Jai Shankar Choudhary-k abestu zuen.	Singer Anuradha Paudwal started the evening, followed by Jai Shankar Choudhary.	Anuradha Paudwal abeslaria hasi zen, eta ondoren Jai Shankar Choudhary-k abestu zuen.	1	1
Then, Lakkha Singh took the lead in singing the bhajans.	Ondoren, Lakkha Singh-ek hartu zuen bhajan-ak abesteko ardura.	Then, Kavita Paudwal took the lead in singing the bhajans.	Ondoren, Kavita Paudwal-ek hartu zuen bhajan-ak abesteko ardura.	1	1
Lakkha Singh presented the chhappan bhog bhajan as well. Singer, Raju Khandelwal was accompanying him.	Lakkha Singh-ek chhappan bhog bhajan-a ere aurkeztu zuen, eta Raju Khandelwal abeslariak berarekin abestu zuen.	Kavita Paudwal presented the chhappan bhog bhajan as well. Singer Raju Khandelwal was accompanying her.	Kavita Paudwal-ek chhappan bhog bhajan-a ere aurkeztu zuen, eta Raju Khandelwal abeslariak berarekin abestu zuen.	1	1
At Thursday's keynote presentation of the Tokyo Game Show, Nintendo president Satoru Iwata unveiled the controller design for the company's new Nintendo Revolution console.	Tokyo Game Show-eko osteguneko atariko aurkezpenean, Satoru Iwata-k, Nintendo-ko presidenteak, konpainiaren Nintendo Revolution kontsola berrirako kontrolagailuaren diseinu berria erakutsi zuen.	At Thursday's keynote presentation of the Tokyo Game Show, Nintendo president Aya Kyogoku unveiled the controller design for the company's new Nintendo Revolution console.	Tokyo Game Show-eko osteguneko atariko aurkezpenean, Aya Kyogoku-k, Nintendo-ko presidenteak, konpainiaren Nintendo Revolution kontsola berrirako kontrolagailuaren diseinu berria erakutsi zuen.	0	1
Giancarlo Fisichella lost control of his car and ended the race very soon after the start.	Giancarlo Fisichella-k bere autoaren kontrola galdu zuen, eta hasi eta segituan amaitu zuen lasterketa.	Vicky Piria lost control of her car and ended the race very soon after the start.	Vicky Piria-k bere autoaren kontrola galdu zuen, eta hasi eta segituan amaitu zuen lasterketa.	0	1
His teammate Fernando Alonso was in the lead for most of the race, but ended it right after his pit-stop, probably because a badly tucked right front wheel.	Fernando Alonso taldekidea izan zen lasterketaren buru probaren zatirik handienean, baina geldialdi teknikoaren ostean amaitu behar izan zuen, aurreko eskuineko gurpila gaizki sartuta zegoelako, ziurrenez.	Her teammate María de Villota was in the lead for most of the race, but ended it right after her pit-stop, probably because a badly tucked right front wheel.	María de Villota taldekidea izan zen lasterketaren buru probaren zatirik handienean, baina geldialdi teknikoaren ostean amaitu behar izan zuen, aurreko eskuineko gurpila gaizki sartuta zegoelako, ziurrenez.	1	1
Michael Schumacher ended his race not long after Alonso, because of the suspension damage in the numerous battles during the race.	Michael Schumacher-ek Alonso-ren ondoren amaitu zuen lasterketa, proban zehar izandako tirabiren ondorioz esekiduran kalteak izateagatik.	Sophia Floersch ended her race not long after Calderón, because of the suspension damage in the numerous battles during the race.	Sophia Floersch-ek Calderón-en ondoren amaitu zuen lasterketa, proban zehar izandako tirabiren ondorioz esekiduran kalteak izateagatik.	1	1
She’s very cute and sings quite well, too, he said according to a transcript of the news conference.	“Oso polita da eta nahiko ongi abesten du, gainera” esan zuen, prentsaurrekoko transkripzio baten arabera.	She’s very cute and sings quite well, too, she said according to a transcript of the news conference.	“Oso polita da eta nahiko ongi abesten du, gainera” esan zuen, prentsaurrekoko transkripzio baten arabera.	1	0
"NASA's shuttle program chief N. Wayne Hale Jr. said the foam had fallen ""after the time we are concerned about."""	NASAko espazio-anezken programako buru N. Wayne Hale Jr.-ek esan du “arduratzen gaituen unearen ondoren” askatu zela aparra.	"NASA's shuttle program chief Ellen Ochoa said the foam had fallen ""after the time we are concerned about."""	NASAko espazio-anezken programako buru Ellen Ochoa-k esan du “arduratzen gaituen unearen ondoren” askatu zela aparra.	0	1
I lost my sister and her friend, and on my way there were two disabled people in wheelchairs, people just jumping over and pushing them, Armand Versace said.	Ahizpa eta bere laguna galdu nituen, eta gurpildun aulkian zihoazen pertsona desgaituak ikusi nituen harako bidean, jendea haien gainetik salto egiten eta bultzaka ari zela” esan zuen Armand Versace-k.	I lost my sister and her friend, and on my way there were two disabled people in wheelchairs, people just jumping over and pushing them, Arianna Venturi said.	Ahizpa eta bere laguna galdu nituen, eta gurpildun aulkian zihoazen pertsona desgaituak ikusi nituen harako bidean, jendea haien gainetik salto egiten eta bultzaka ari zela” esan zuen Arianna Venturi-k.	1	1
California Governor Arnold Schwarzenegger signed into law a bill that bans the sale or rental of violent video games to minors.	Arnold Schwarzenegger Kalifornia-ko gobernadoreak lege bihurtu du adingabekoei bideo-joko bortitzak saltzea edo alokatzea debekatzen duen lege-proiektua.	California Governor Mona Pasquil signed into law a bill that bans the sale or rental of violent video games to minors.	Mona Pasquil Kalifornia-ko gobernadoreak lege bihurtu du adingabekoei bideo-joko bortitzak saltzea edo alokatzea debekatzen duen lege-proiektua.	0	1
The Director of Public Prosecutions, Keir Starmer QC, gave a statement this morning announcing the prosecution of both Huhne and Pryce.	Salaketa Publikoen zuzendari Keir Starmer QC-k gaur goizean emandako adierazpenean iragarri du Huhne-k eta Pryce-k, biek, salaketak jaso dituztela.	The Director of Public Prosecutions, Alison Saunders QC, gave a statement this morning announcing the prosecution of both Huhne and Pryce.	Salaketa Publikoen zuzendari Alison Saunders QC-k gaur goizean emandako adierazpenean iragarri du Huhne-k eta Pryce-k, biek, salaketak jaso dituztela.	1	1
Huhne has resigned and he will be replaced in the Cabinet by Ed Davey MP. Norman Lamb MP is expected to take the Business Minister job Davey is vacating.	Huhne-k dimititu egin du eta Ed Davey parlamentuko kideak ordezkatuko du kabinetean. Norman Lamb parlamentuko kideak, berriz, Davey-k utziko duen Negozioen Ministro postua hartuko du.	Swinson has resigned and she will be replaced in the Cabinet by Ed Davey MP. Norman Lamb MP is expected to take the Business Minister job Davey is vacating.	Swinson-ek dimititu egin du eta Ed Davey parlamentuko kideak ordezkatuko du kabinetean. Norman Lamb parlamentuko kideak, berriz, Davey-k utziko duen Negozioen Ministro postua hartuko du.	1	1
The fatalities were Nicholas Alden, 25, and Zachary Cuddeback, 21. Cuddeback had been the driver.	Nicholas Alden (25) eta Zachary Cuddeback (21) dira hildakoak. Cuddeback ari zen gidatzen.	The fatalities were Nicole Allen, 25, and Zara Haddleback, 21. Cuddeback had been the driver.	Nicole Allen (25) eta Zara Haddleback (21) dira hildakoak. Cuddeback ari zen gidatzen.	1	1
Edgar Veguilla received arm and jaw wounds while Kristoffer Schneider was left requiring reconstructive surgery for his face.	Edgar Veguilla-k zauriak pairatu zituen besoan eta barailan, eta Kristoffer Schneider-ek berreraikitze-ebakuntza jaso beharko du aurpegian.	Elena Vergara received arm and jaw wounds while Kirsten Schneefer was left requiring reconstructive surgery for her face.	Elena Vergara-k zauriak pairatu zituen besoan eta barailan, eta Kirsten Schneefer-ek berreraikitze-ebakuntza jaso beharko du aurpegian.	1	1
Uka's weapon failed whilst pointed at a fifth man's head. Schneider has ongoing pain, blindness in one eye, a missing section of skull and a face rebuilt from titanium.	Uka-ren armak huts egin zuen bosgarren gizonaren burura apuntatzen ari zenean. Schneider-ek mina izaten jarraitzen du, begi bat itsututa du, garezurreko zati bat falta zaio eta aurpegiaren zati bat titanioz berreraikita dauka.	Uka's weapon failed whilst pointed at a fifth woman's head. Schneider has ongoing pain, blindness in one eye, a missing section of skull and a face rebuilt from titanium.	Uka-ren armak huts egin zuen bosgarren emakumearen burura apuntatzen ari zenean. Schneider-ek mina izaten jarraitzen du, begi bat itsututa du, garezurreko zati bat falta zaio eta aurpegiaren zati bat titanioz berreraikita dauka.	0	0
Schneider testified via videolink from a USAF base in his homeland.	Schneider-ek bideo-dei bidez eman zuen testigantza haren herriko USAF base batetik.	Schneider testified via videolink from a USAF base in her homeland.	Schneider-ek bideo-dei bidez eman zuen testigantza haren herriko USAF base batetik.	0	0
His first was the Slalom, where he earned a Did Not Finish in his first run. 36 of the 116 competitors had the same result in that race.	Lehen proba eslaloma izan zen, eta lehen jaitsieran ez zuen ibilbidea amaitu. 116 lehiakideetatik 36k emaitza bera izan zuten lasterketa hartan.	Her first was the Slalom, where she earned a Did Not Finish in her first run. 36 of the 116 competitors had the same result in that race.	Lehen proba eslaloma izan zen, eta lehen jaitsieran ez zuen ibilbidea amaitu. 116 lehiakideetatik 36k emaitza bera izan zuten lasterketa hartan.	0	0
His other race, the Giant Slalom, saw him finish in tenth in the men's sitting group with a combined run time of 4:41.30, 2:11.60 minutes slower than first place finisher Austrian Harald Eder and 1:09.02 minutes slower than the ninth place finisher Zsolt Balogh of Hungary.	Eslalom erraldoian, berriz, hamargarren bukatu zuen gizonezkoen eseritakoen taldean, 4:41.30 denbora konbinatua eginda, lehen postuan amaitu zuen Austriako Harald Eder-ek baino 2:11.60 minutu beranduago, eta bederatzigarren amaitu zuen Hungariako Zsolt Balogh-ek lortutakoa baino 1:09.02 minutu beranduago.	Her other race, the Giant Slalom, saw her finish in tenth in the women's sitting group with a combined run time of 4:41.30, 2:11.60 minutes slower than first place finisher Austrian Claudia Loesch and 1:09.02 minutes slower than the ninth place finisher Gyöngyi Dani of Hungary.	Eslalom erraldoian, berriz, hamargarren bukatu zuen emakumeen eseritakoen taldean, 4:41.30 denbora konbinatua eginda, lehen postuan amaitu zuen Austriako Claudia Loesch-ek baino 2:11.60 minutu beranduago, eta bederatzigarren amaitu zuen Hungariako Gyöngyi Dani-k lortutakoa baino 1:09.02 minutu beranduago.	1	1
Four skiers in the men's sitting group failed to finish their runs, and 45 of the 117 total skiers in the Giant Slalom failed to rank in the race.	Gizonezkoen eseritakoen taldeko lau kidek ez zuten jaitsiera amaitzerik lortu, eta eslalom erraldoian parte hartu zuten 117 eskiatzaileetatik 45ek ez zuten lortu sailkatzea.	Four skiers in the women's sitting group failed to finish their runs, and 45 of the 117 total skiers in the Giant Slalom failed to rank in the race.	Emakumeen eseritakoen taldeko lau kidek ez zuten jaitsiera amaitzerik lortu, eta eslalom erraldoian parte hartu zuten 117 eskiatzaileetatik 45ek ez zuten lortu sailkatzea.	0	0
"Deputy Inspector General D K Arya said, ""We have arrested five persons who raped the Swiss man and recovered his mobile and laptop""."	D K Arya Ordezko Inspektore Nagusiak esan duenez, “Suitzako gizona bortxatu zuten bost pertsona atxilotu ditugu eta haren ordenagailu eramangarria eta telefono mugikorra berreskuratu ditugu”. 	"Deputy Inspector General D K Arya said, ""We have arrested five persons who raped the Swiss woman and recovered her mobile and laptop""."	D K Arya Ordezko Inspektore Nagusiak esan duenez, “Suitzako emakumea bortxatu zuten bost pertsona atxilotu ditugu eta haren ordenagailu eramangarria eta telefono mugikorra berreskuratu ditugu”. 	1	0
The accused are named as Baba Kanjar, Bhutha Kanjar, Rampro Kanjar, Gaza Kanjar and Vishnu Kanjar.	Hauek dira akusatuak: Baba Kanjar, Bhutha Kanjar, Rampro Kanjar, Gaza Kanjar eta Vishnu Kanjar.	The accused are named as Babita Kanjar, Bhavika Kanjar, Ramita Kanjar, Gazala Kanjar and Vaishnavi Kanjar.	Hauek dira akusatuak: Babita, Bhavika, Ramita, Gazala eta Vaishnavi Kanjar.	1	1
Police superintendent Chandra Shekhar Solanki said the accused appeared in court with covered faces.	Chandra Shekhar Solanki polizia superintendenteak esan duenez, akusatuak aurpegia estalita agertu ziren epailearen aurrean.	Police superintendent Chandrika Sharma Solanski said the accused appeared in court with covered faces.	Chandrika Sharma Solanski polizia superintendenteak esan duenez, akusatuak aurpegia estalita agertu ziren epailearen aurrean.	0	1
He was initially hospitalised in the James Paget Hospital in Great Yarmouth.	Hasieran, Great Yarmouth-eko James Paget ospitalera eraman zuten.	She was initially hospitalised in the James Paget Hospital in Great Yarmouth.	Hasieran, Great Yarmouth-eko James Paget ospitalera eraman zuten.	0	0
He was subsequently relocated to Addenbrooke's Hospital in Cambridge.	Ondoren, Addenbrooke’s ospitalera (Cambridge) eraman zuten.	She was subsequently relocated to Addenbrooke's Hospital in Cambridge.	Ondoren, Addenbrooke’s ospitalera (Cambridge) eraman zuten.	0	0
Adekoya has since been in Edinburgh Sheriff Court charged with murdering his son.	Ordutik, Adekoya Edinburgoko Sheriffaren epaitegian egon da semea erailtzea leporatuta.	Adekoya has since been in Edinburgh Sheriff Court charged with murdering her son.	Ordutik, Adekoya Edinburgoko Sheriffaren epaitegian egon da semea erailtzea leporatuta.	0	0
He is in custody pending indictment and trial, but any eyewitness evidence may be tainted because his image has been widely published.	Zaintzapean dago salaketa eta epaiketaren zain, baina litekeena da lekukoen frogak guztiz sinesgarriak ez izatea, haren irudia toki askotan argitaratu delako.	She is in custody pending indictment and trial, but any eyewitness evidence may be tainted because her image has been widely published.	Zaintzapean dago salaketa eta epaiketaren zain, baina litekeena da lekukoen frogak guztiz sinesgarriak ez izatea, haren irudia toki askotan argitaratu delako.	0	0
"Professor Colin Reid of the University of Dundee notes ""journalists do seem to be walking a dangerous line if publishing photos etc of suspects."""	Dundee-ko Unibertsitateko Colin Reid irakasleak esan duenez, “kazetariak lerro mehe baten gainean ibiltzen dira susmagarrien argazkiak eta abar argitaratzen dituztenean.”	"Professor Pamela Ferguson of the University of Dundee notes ""journalists do seem to be walking a dangerous line if publishing photos etc of suspects."""	Dundee-ko Unibertsitateko Pamela Ferguson irakasleak esan duenez, “kazetariak lerro mehe baten gainean ibiltzen dira susmagarrien argazkiak eta abar argitaratzen dituztenean.”	0	1
According to Mick O'Flynn, the Acting Director Park Conservation and Heritage with the NPWS, the four shooters selected for the first shooting operation received comprehensive safety and training instruction.	Mick O'Flynn-ek, NPWSko Parkearen Kontserbazio eta Ondarearen Zuzendari exekutiboak, esan duenez, lehen tiro-operaziorako hautatutako lau tiratzaileek segurtasun- eta trebakuntza-jarraibide osoak jaso zituzten.	According to Holly Park, the Acting Director Park Conservation and Heritage with the NPWS, the four shooters selected for the first shooting operation received comprehensive safety and training instruction.	Holly Park-ek, NPWSko Parkearen Kontserbazio eta Ondarearen Zuzendari exekutiboak, esan duenez, lehen tiro-operaziorako hautatutako lau tiratzaileek segurtasun- eta trebakuntza-jarraibide osoak jaso zituzten.	0	1
A former Filipino policeman has kept Hong Kong tourists hostage by hijacking their bus in Manila, the capital of the Philippines.	Filipinetako polizia ohi batek Hong Kongeko turistak bahitu hartu ditu Manilan, Filipinetako hiriburuan, haien autobusa bahitu ondoren.	A former Filipina policewoman has kept Hong Kong tourists hostage by hijacking their bus in Manila, the capital of the Philippines.	Filipinetako polizia ohi batek Hong Kongeko turistak bahitu hartu ditu Manilan, Filipinetako hiriburuan, haien autobusa bahitu ondoren.	0	0
Rolando Mendoza fired his M16 rifle at the tourists.	Rolando Mendozak tiro egin zien turistei bere M16 fusilarekin.	Rosenda Martínez fired her M16 rifle at the tourists.	Rosenda Martínez-ek tiro egin zien turistei bere M16 fusilarekin.	0	1
The photographers later took the place of an aged man as he needed the lavatory. Mendoza was gunned down.	Argazkilariek adineko gizon baten tokia hartu zuten gero, komunera joan behar baitzuen. Mendoza tiroz hil zuten.	The photographers later took the place of an aged lady as she needed the lavatory. Mendoza was gunned down.	Argazkilariek adineko emakume baten tokia hartu zuten gero, komunera joan behar baitzuen. Mendoza tiroz hil zuten.	0	0
Liggins followed in his father’s footsteps and entered a career in medicine.	Liggins-ek aitaren ibilbideari jarraitu zion eta medikuntza ikasi zuen.	Liggins followed in her father's footsteps and entered a career in medicine.	Liggins-ek amaren ibilbideari jarraitu zion eta medikuntza ikasi zuen.	1	0
He trained as an obstetrician and began to work at the Auckland's National Women's Hospital in 1959.	Obstetra gisa trebatu eta Auckland-eko Emakumeen Ospitale Nazionalean hasi zen lanean 1959an.	She trained as an obstetrician and began to work at the Auckland's National Women's Hospital in 1959.	Obstetra gisa trebatu eta Auckland-eko Emakumeen Ospitale Nazionalean hasi zen lanean 1959an.	0	0
While he was working at the hospital Liggins began to investigate premature labor during his spare time.	Ospitalean lanean ari zen bitartean, erditze goiztiarrak ikertzen hasi zen Liggins denbora librea zuenean.	While she was working at the hospital Liggins began to investigate premature labor during her spare time.	Ospitalean lanean ari zen bitartean, erditze goiztiarrak ikertzen hasi zen Liggins denbora librea zuenean.	0	0
His research showed that if a hormone was administered it would speed up the baby's foetal lung maturation.	Egindako ikerketak erakutsi zuenez, hormona bat emanez gero umearen fetu-birikak azkarrago heltzen ziren.	Her research showed that if a hormone was administered it would speed up the baby's foetal lung maturation.	Egindako ikerketak erakutsi zuenez, hormona bat emanez gero umearen fetu-birikak azkarrago heltzen ziren.	0	0
Fellow wrestlers also paid tribute to Colin.	Borrokalari kideek ere omendu egin zuten Colin.	Fellow wrestlers also paid tribute to Luna.	Borrokalari kideek ere omendu egin zuten Luna.	0	1
